date,time,court,home_team,away_team
2026-09-13,09:30,2,Vido X10-1,The Black Eagles X10-2
2026-09-13,09:30,1,Vido X12-2,Den Dungk X12-1
2026-09-13,11:15,2,Vido X12-1,Jumpers '76 X12-2
2026-09-13,11:15,1,Vido VSE-2,Achilles '71 VSE-2
2026-09-13,13:15,1,Vido VSE-1,TSBV Pendragon VSE-1
2026-09-13,13:15,2,Vido X14-1,Jumpers '76 X14-2
2026-09-13,15:15,1,Vido M18-1,BC Langstraat Shooters M18-2
2026-09-13,15:15,2,Vido X14-2,OBC X14-2
2026-09-13,17:15,2,Vido M16-1,Valkenswaard Falcons M16-2
2026-09-13,17:15,1,Vido MSE-1,Den Dungk MSE-1
2026-09-13,19:15,1,Vido MSE-2,Venlo Sport Crusaders MSE-1
2026-09-27,09:30,2,Vido X10-1,Achilles '71 X10-2
2026-09-27,09:30,1,Vido X12-2,JRC X12-1
2026-09-27,11:15,2,Vido X12-1,Achilles '71 X12-2
2026-09-27,11:15,1,Vido VSE-2,Basketiers '71 VSE-1
2026-09-27,13:15,1,Vido VSE-1,Attacus VSE-1
2026-09-27,13:15,2,Vido X14-1,BC Bumpers X14-2
2026-09-27,15:15,1,Vido M18-1,JRC M18-1
2026-09-27,15:15,2,Vido X14-2,Ardito X14-1
2026-09-27,17:15,2,Vido M16-1,Basketbal Academie Limburg M16-3
2026-09-27,17:15,1,Vido MSE-1,BC Eindhoven MSE-1
2026-09-27,19:15,1,Vido MSE-2,Tracks Parkstad MSE-1
2026-10-11,09:30,2,Vido X10-1,Attacus X10-2
2026-10-11,09:30,1,Vido X12-2,Oirschot X12-1
2026-10-11,11:15,2,Vido X14-1,Springfield '75 X14-1
2026-10-11,11:15,1,Vido VSE-2,The Black Eagles VSE-1
2026-10-11,13:15,1,Vido VSE-1,Barons Breda Basketball VSE-1
2026-10-11,13:15,2,Vido X14-2,Slamdunk '97 X14-1
2026-10-11,15:15,2,Vido M16-1,Fanatics '71 M16-1
2026-10-11,15:15,1,Vido MSE-1,Tantalus MSE-3
2026-10-11,17:15,1,Vido M18-1,Oirschot M18-1
2026-11-01,09:30,1,Vido X12-1,Jumping Giants X12-1
2026-11-01,09:30,2,Vido X10-1,Vlijmscherp SVH X10-3
2026-11-01,11:15,2,Vido X14-1,Jumping Giants X14-1
2026-11-01,11:15,1,Vido MSE-2,Tantalus MSE-6
2026-11-01,13:15,1,Vido VSE-1,EBBC VSE-1
2026-11-01,13:15,2,Vido X14-2,EBBC X14-1
2026-11-01,15:15,2,Vido M18-1,EBBC M18-1
2026-11-01,15:15,1,Vido MSE-1,BC Bladel MSE-1
2026-11-08,11:30,1,Vido M16-1,Springfield '75 M16-1
2026-11-08,13:30,1,Vido VSE-2,Tantalus VSE-2
2026-11-14,10:45,1,Vido VSE-1,B.C. Virtus VSE-1,De Kempencampus
2026-11-15,09:30,2,Vido X10-1,EVBV Octopus X10-2
2026-11-15,09:30,1,Vido X12-2,EVBV Octopus X12-2
2026-11-15,11:15,2,Vido X12-1,BC LIESHOUT X12-1
2026-11-15,11:15,1,Vido MSE-2,BC Heeze MSE-2
2026-11-15,13:15,2,Vido X14-1,Basketbal Academie Limburg X14-2
2026-11-15,13:15,1,Vido M18-1,EVBV Octopus M18-1
2026-11-15,15:15,2,Vido X14-2,BC LIESHOUT X14-1
2026-11-15,15:15,1,Vido MSE-1,Attacus MSE-2
2026-11-15,17:15,1,Vido M16-1,BC Bladel M16-1
2026-11-22,11:15,1,Vido VSE-2,Oirschot VSE-1
2026-11-29,09:30,2,Vido X10-1,BV Schijndel X10-1
2026-11-29,09:30,1,Vido X12-2,The Black Eagles X12-4
2026-11-29,11:15,2,Vido X12-1,E.B.C.G. X12-1
2026-11-29,11:15,1,Vido VSE-2,Jumping Giants VSE-1
2026-11-29,13:15,1,Vido VSE-1,Arnhem Eagles VSE-1
2026-11-29,13:15,2,Vido X14-1,BC Heeze X14-1
2026-11-29,15:15,2,Vido X14-2,BV Schijndel X14-2
2026-11-29,15:15,1,Vido MSE-1,Dunatos MSE-1
2026-11-29,17:15,1,Vido MSE-2,Valkenswaard Falcons MSE-2
2026-11-29,17:15,2,Vido M16-1,Black Shots M16-1
